ticker,sector,rank,naive_rank,composite_score,trailing_pe
HEROMOTOCO.NS,auto,1,44.0,0.8147058823529412,17.175642
LICI.NS,insurance,2,19.0,0.8124999999999999,9.660868
UNIONBANK.NS,banking,3,13.0,0.8108552631578947,6.667704
ACC.NS,cement,4,28.0,0.8098214285714287,12.239754
COLPAL.NS,fmcg,5,120.0,0.8041666666666667,41.437923
LUPIN.NS,pharma_healthcare,6,56.0,0.7777777777777778,21.607035
NMDC.NS,metals_mining,7,20.0,0.76,10.037825
COALINDIA.NS,metals_mining,8,15.0,0.7566666666666666,8.548194
IRCTC.NS,infra_logistics_defense,9,77.0,0.7468181818181819,28.477646
HAL.NS,capital_goods,10,97.0,0.7405882352941177,32.52383
OBEROIRLTY.NS,realty,11,73.0,0.7333333333333333,27.321352
GILLETTE.NS,consumer_durables_retail,12,139.0,0.7277472527472527,47.959435
NATIONALUM.NS,metals_mining,13,22.0,0.7266666666666667,10.872848
CANBK.NS,banking,14,7.0,0.722564875730994,5.8073225
MUTHOOTFIN.NS,nbfc_financial_services,15,24.0,0.718131868131868,11.396909
TCS.NS,it,16,40.0,0.7175,16.198202
BPCL.NS,energy_power,17,3.0,0.7136363636363636,5.2215242
PGHH.NS,consumer_durables_retail,18,101.0,0.7107142857142856,33.51413
PNB.NS,banking,19,10.0,0.7103664108187133,6.5567966
BANKINDIA.NS,banking,20,8.0,0.7084932383040935,5.971652
HINDZINC.NS,metals_mining,21,39.0,0.7033333333333334,16.129278
ICICIGI.NS,insurance,22,82.0,0.7000000000000002,29.067873
GICRE.NS,insurance,23,12.0,0.6979166666666666,6.6233883
ITC.NS,fmcg,24,43.0,0.6871212121212121,16.786362
KAJARIACER.NS,consumer_durables_retail,25,115.0,0.6835164835164835,39.938072
GHCL.NS,chemicals,26,16.0,0.6818181818181818,8.723574
BEL.NS,capital_goods,27,140.0,0.6811764705882353,49.44578
BAJAJ-AUTO.NS,auto,28,68.0,0.6764705882352942,26.551088
ABBOTINDIA.NS,pharma_healthcare,29,112.0,0.675,37.87423
POLYCAB.NS,capital_goods,30,149.0,0.6741176470588235,53.831295
