rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
1,HEROMOTOCO.NS,auto,2026-07-16T05:42:15.308371+00:00,985377734656,4924.6,17.175642,12.556,0.28027,3.57,0.302,0.12109999,2.1770383768779045,7786100224.0,216111900000.0,True,,0.0356999999999999,1,0.8147058823529412,4,0.8235294117647058,0.8529411764705882,0.7647058823529411,0.7941176470588235,0.9411764705882353,0.7058823529411764,0.8823529411764706,0.8235294117647058,0.7647058823529411,0.7941176470588235
2,LICI.NS,insurance,2026-07-16T05:42:07.249970+00:00,2774776414208,438.7,9.660868,10.194,0.42356,,0.148,0.06564,5.485817586263247,0.0,1766053400000.0,True,,,1,0.8124999999999999,3,0.6666666666666667,0.8333333333333333,,1.0,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666666,,1.0
3,UNIONBANK.NS,banking,2026-07-16T05:41:38.327290+00:00,1308094627840,171.36,6.667704,,0.15708,,,0.39665002,0.4405326153885003,,1334472821000.0,True,,,1,0.8108552631578947,2,0.6842105263157895,0.9375,,,0.6842105263157895,,0.875,1.0,,
4,ACC.NS,cement,2026-07-16T05:40:54.956012+00:00,260761387008,1388.6,12.239754,9.472,0.109280005,2.085,0.323,0.082959995,1.2187217464845206,4286099968.0,205505400000.0,True,,0.02085,1,0.8098214285714287,4,0.875,0.7410714285714286,0.625,1.0,0.875,0.875,0.8571428571428571,0.625,0.625,1.0
5,COLPAL.NS,fmcg,2026-07-16T05:42:59.356307+00:00,551015677952,2025.9,41.437923,28.746,0.81593,2.993,0.091,0.21959999,3.777244004519888,474100000.0,15841100000.0,True,,0.02993,1,0.8041666666666667,4,0.7083333333333334,0.9166666666666667,0.9166666666666666,0.6666666666666666,0.6666666666666667,0.75,1.0,0.8333333333333334,0.9166666666666666,0.6666666666666666
6,LUPIN.NS,pharma_healthcare,2026-07-16T05:42:35.145684+00:00,1151454674944,2518.3,21.607035,14.179,0.26907,29.388,0.319,0.19073999,1.2244836684519564,66161799168.0,224482700000.0,True,,0.29388,1,0.7777777777777778,4,0.8888888888888888,0.8888888888888888,0.2777777777777778,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8333333333333334,0.2777777777777778,0.9444444444444444
7,NMDC.NS,metals_mining,2026-07-16T05:43:10.546289+00:00,746601119744,84.92,10.037825,7.508,0.23363,18.802,0.619,0.23231001,0.941535414635464,64068100096.0,340623300000.0,True,,0.18802,1,0.76,4,0.7666666666666667,0.7,0.6,1.0,0.8666666666666667,0.6666666666666667,0.6,0.8,0.6,1.0
8,COALINDIA.NS,metals_mining,2026-07-16T05:43:09.432679+00:00,2639804760064,428.35,8.548194,5.399,0.28124002,11.629,0.162,0.18465,1.4139217823847143,140721799168.0,1191015600000.0,True,,0.1162899999999999,2,0.7566666666666666,4,0.9,0.7333333333333334,0.6666666666666667,0.6666666666666666,0.9333333333333333,0.8666666666666667,0.8,0.6666666666666666,0.6666666666666667,0.6666666666666666
9,IRCTC.NS,infra_logistics_defense,2026-07-16T05:44:33.803041+00:00,402560024576,503.2,28.477646,22.496,0.34959,1.874,0.151,0.26721,1.2103574830708552,807259008.0,43085313000.0,True,,0.01874,1,0.7468181818181819,4,0.5772727272727273,0.9545454545454546,0.8,0.6363636363636364,0.7,0.4545454545454546,1.0,0.9090909090909091,0.8,0.6363636363636364
10,HAL.NS,capital_goods,2026-07-16T05:43:37.710045+00:00,2966418358272,4435.6,32.52383,30.685,0.23979001,0.027,0.018,0.27549,0.8062357947346466,109700000.0,410411200000.0,True,,0.00027,1,0.7405882352941177,4,0.8235294117647058,0.9,0.9411764705882353,0.17647058823529413,0.8823529411764706,0.7647058823529411,0.8,1.0,0.9411764705882353,0.17647058823529413
