ticker,excluded,exclusion_reason,missing_fields,outlier_fields,negative_equity,zero_or_negative_revenue_proxy
AARTIIND.NS,False,,[],[],False,False
ABBOTINDIA.NS,False,,[],[],False,False
ABB.NS,False,,['return_on_equity'],[],False,False
ACC.NS,False,,[],[],False,False
ADANIENT.NS,False,,[],[],False,False
ADANIGREEN.NS,False,,[],[],False,False
ADANIPORTS.NS,False,,[],[],False,False
ADANIPOWER.NS,False,,[],[],False,False
ALKEM.NS,False,,[],[],False,False
AMBUJACEM.NS,False,,[],[],False,False
APLAPOLLO.NS,False,,[],[],False,False
APOLLOHOSP.NS,False,,[],[],False,False
ARE&M.NS,False,,[],[],False,False
ASHOKLEY.NS,True,missing critical fields: ['market_cap'],['market_cap'],[],False,False
ASTRAL.NS,False,,[],[],False,False
AUBANK.NS,True,missing critical fields: ['market_cap'],"['market_cap', 'ev_to_ebitda', 'return_on_equity', 'debt_to_equity']",[],False,False
AUROPHARMA.NS,False,,[],[],False,False
AXISBANK.NS,True,missing critical fields: ['market_cap'],"['market_cap', 'ev_to_ebitda', 'debt_to_equity']",[],False,False
BAJAJ-AUTO.NS,False,,[],[],False,False
BAJAJFINSV.NS,False,,[],[],False,False
BAJAJHLDNG.NS,False,,[],['net_margin'],False,False
BAJFINANCE.NS,False,,['ev_to_ebitda'],[],False,False
BANDHANBNK.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
BANKBARODA.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
BANKINDIA.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
BATAINDIA.NS,False,,[],[],False,False
BEL.NS,False,,[],[],False,False
BHARATFORG.NS,False,,[],[],False,False
BHARTIARTL.NS,False,,[],[],False,False
BHEL.NS,False,,['return_on_equity'],[],False,False
BIOCON.NS,True,missing critical fields: ['market_cap'],['market_cap'],[],False,False
BLUESTARCO.NS,False,,[],[],False,False
BOSCHLTD.NS,True,missing critical fields: ['market_cap'],['market_cap'],[],False,False
BPCL.NS,False,,[],[],False,False
BRITANNIA.NS,False,,[],[],False,False
CANBK.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
CARBORUNIV.NS,False,,[],[],False,False
CENTRALBK.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
CHAMBLFERT.NS,False,,[],[],False,False
CHOLAFIN.NS,False,,['ev_to_ebitda'],[],False,False
CIPLA.NS,False,,[],[],False,False
COALINDIA.NS,False,,[],[],False,False
COCHINSHIP.NS,False,,[],[],False,False
COFORGE.NS,False,,[],[],False,False
COLPAL.NS,False,,[],[],False,False
CONCOR.NS,False,,[],[],False,False
COROMANDEL.NS,False,,[],[],False,False
CROMPTON.NS,True,missing critical fields: ['trailing_pe'],['trailing_pe'],[],False,False
CUMMINSIND.NS,False,,[],[],False,False
CYIENT.NS,False,,[],[],False,False
DABUR.NS,False,,[],[],False,False
DALBHARAT.NS,False,,[],[],False,False
DEEPAKNTR.NS,False,,[],[],False,False
DIVISLAB.NS,False,,[],[],False,False
DIXON.NS,False,,[],[],False,False
DLF.NS,False,,[],[],False,False
DMART.NS,False,,['return_on_equity'],[],False,False
DRREDDY.NS,False,,[],[],False,False
EICHERMOT.NS,False,,[],[],False,False
EMAMILTD.NS,False,,[],[],False,False
ENDURANCE.NS,False,,[],[],False,False
EXIDEIND.NS,False,,[],[],False,False
FEDERALBNK.NS,False,,"['ev_to_ebitda', 'return_on_equity', 'debt_to_equity']",[],False,False
FORTIS.NS,False,,[],[],False,False
GAIL.NS,False,,[],[],False,False
GHCL.NS,False,,[],[],False,False
GICRE.NS,False,,['debt_to_equity'],[],False,False
GILLETTE.NS,False,,[],[],False,False
GLAND.NS,False,,[],[],False,False
GLENMARK.NS,False,,[],[],False,False
GMRAIRPORT.NS,False,,"['return_on_equity', 'debt_to_equity']",['trailing_pe'],True,True
GNFC.NS,False,,[],[],False,False
GODREJCP.NS,False,,[],[],False,False
GODREJPROP.NS,False,,[],[],False,False
GRINDWELL.NS,False,,[],[],False,False
HAL.NS,False,,[],[],False,False
HAVELLS.NS,False,,['return_on_equity'],[],False,False
HCLTECH.NS,False,,[],['ev_to_ebitda'],False,False
HDFCBANK.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
HDFCLIFE.NS,False,,[],[],False,False
HEIDELBERG.NS,False,,[],[],False,False
HEROMOTOCO.NS,False,,[],[],False,False
HINDALCO.NS,False,,[],[],False,False
HINDCOPPER.NS,False,,[],[],False,False
HINDUNILVR.NS,False,,[],[],False,False
HINDZINC.NS,False,,[],[],False,False
HUDCO.NS,False,,['ev_to_ebitda'],[],False,False
ICICIBANK.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
ICICIGI.NS,False,,['debt_to_equity'],[],False,False
ICICIPRULI.NS,False,,[],[],False,False
IDEA.NS,False,,"['return_on_equity', 'debt_to_equity']",[],True,True
IDFCFIRSTB.NS,False,,"['ev_to_ebitda', 'return_on_equity', 'debt_to_equity', 'total_debt']",[],False,False
INDIGO.NS,True,missing critical fields: ['trailing_pe'],"['trailing_pe', 'return_on_equity']",[],False,False
INDUSINDBK.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
