rank,ticker,sector,sector_rank,composite_score,trailing_pe,trailing_pe_vs_sector_median,valuation_label,return_on_equity,net_margin,asset_turnover,equity_multiplier,dupont_implied_roe,dupont_vs_reported_roe_gap
1,HEROMOTOCO.NS,auto,1,0.8464285714285714,17.61615,0.0,in line with sector,0.28027,0.12109999,2.1770383768779045,1.0360280957411414,0.2731377485358823,-0.007132251464117723
2,UNIONBANK.NS,banking,1,0.805921052631579,6.305041,-2.538754,cheap vs sector,0.15798001,0.40460998,0.4405326153885003,1.0,0.1782438927016888,0.0202638827016888
3,IOB.NS,banking,2,0.798611111111111,11.382549,2.538753999999999,rich vs sector,0.16525999,0.36560002,0.4979208850448562,2.277076136201111,0.41451867917900564,0.24925868917900565
4,LUPIN.NS,pharma_healthcare,1,0.7628151260504202,20.538706,0.0,in line with sector,0.26907,0.19073999,1.2244836684519564,1.2947300578975574,0.3023945663267333,0.03332456632673331
5,COLPAL.NS,fmcg,1,0.7625000000000001,44.17947,0.0,in line with sector,0.81593,0.21959999,3.777244004519888,1.0299284771890842,0.8543079010511583,0.038377901051158236
6,IRCTC.NS,infra_logistics_defense,1,0.7468181818181819,28.194365,0.0,in line with sector,0.34959,0.26721,1.2103574830708552,1.0187362920631446,0.32947930756780575,-0.020110692432194266
7,HINDZINC.NS,metals_mining,1,0.7428571428571429,13.118158,2.449849500000001,rich vs sector,,0.38068,1.731936895134562,1.3903398401696938,0.9166701560557019,
8,COALINDIA.NS,metals_mining,2,0.7414285714285714,8.218459,-2.449849499999999,cheap vs sector,0.28124002,0.18465,1.4139217823847143,1.1181527758057912,0.2919280614649509,0.010688041464950948
9,GILLETTE.NS,consumer_durables_retail,1,0.7336538461538462,48.28872,0.0,in line with sector,0.66443,0.21110001,2.7109660547530554,1.0000205915965694,0.5722967455290757,-0.09213325447092424
10,MUTHOOTFIN.NS,nbfc_financial_services,1,0.7317307692307693,11.236947,0.0,in line with sector,0.30406,0.55206,0.5178535874295926,4.859576072781423,1.3892859872117935,1.0852259872117935
