rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
1,NATIONALUM.NS,metals_mining,2026-08-02T05:59:48.846569+00:00,642912944128,350.05,10.471133,6.067,,0.277,0.393,0.34908,0.9357920950001796,598300032.0,178054400000.0,True,,0.00277,1,0.8533333333333333,4,0.8,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.8,0.8,,0.9333333333333333,0.9333333333333333,0.7333333333333333
2,BEL.NS,capital_goods,2026-08-02T06:00:08.502851+00:00,2835097845760,387.85,46.062946,33.587,,0.273,0.249,0.21403,1.150981874087837,654600000.0,239883100000.0,True,,0.00273,1,0.8264705882352941,4,0.676470588235294,0.9411764705882353,0.8235294117647058,0.8823529411764706,0.7058823529411764,0.6470588235294117,,0.9411764705882353,0.8235294117647058,0.8823529411764706
3,HEROMOTOCO.NS,auto,2026-08-02T05:59:02.768869+00:00,1077700591616,5386.0,18.796677,14.052,0.28027,3.57,0.302,0.12109999,2.1770383768779045,7786100224.0,216111900000.0,True,,0.0356999999999999,1,0.8142857142857144,4,0.7857142857142858,0.9285714285714286,0.7857142857142857,0.7142857142857143,0.8571428571428572,0.7142857142857143,1.0,0.8571428571428571,0.7857142857142857,0.7142857142857143
4,UNIONBANK.NS,banking,2026-08-02T05:58:33.528791+00:00,1307178696704,171.24,6.3328404,,0.15798001,,,0.40460998,0.4405326153885003,,1334472821000.0,True,,,1,0.8098086124401914,2,0.736842105263158,0.8827751196172249,,,0.736842105263158,,0.8181818181818182,0.9473684210526315,,
5,KAJARIACER.NS,consumer_durables_retail,2026-08-02T06:00:39.484777+00:00,188304539648,1198.3,34.966442,19.685,,7.302,0.204,0.107980005,1.5756757285733858,2285900032.0,30655800000.0,True,,0.07302,1,0.8076923076923077,4,0.8461538461538461,0.7692307692307693,0.7692307692307692,0.8461538461538461,0.8461538461538461,0.8461538461538461,,0.7692307692307693,0.7692307692307692,0.8461538461538461
6,IOB.NS,banking,2026-08-02T05:58:38.198658+00:00,652798459904,33.9,11.375839,,0.16525999,,0.481,0.36560002,0.4979208850448562,472398987264.0,369906675000.0,True,,,2,0.798611111111111,3,0.5789473684210527,0.9210526315789473,,0.9444444444444444,0.5789473684210527,,1.0,0.8421052631578947,,0.9444444444444444
7,GILLETTE.NS,consumer_durables_retail,2026-08-02T06:00:43.182948+00:00,248429690880,7624.0,46.510494,25.564,,0.002,0.108,0.21035999,2.7109660547530554,200000.0,9712700000.0,True,,2e-05,2,0.776923076923077,4,0.6153846153846154,1.0,0.9230769230769231,0.5384615384615384,0.6153846153846154,0.6153846153846154,,1.0,0.9230769230769231,0.5384615384615384
8,LUPIN.NS,pharma_healthcare,2026-08-02T05:59:18.111763+00:00,1104222224384,2415.0,20.747423,13.73,0.26907,29.388,0.319,0.19073999,1.2244836684519564,66161799168.0,224482700000.0,True,,0.29388,1,0.7676136363636363,4,0.9080882352941176,0.8663101604278074,0.23529411764705888,0.9411764705882353,0.9411764705882353,0.875,0.9090909090909091,0.8235294117647058,0.23529411764705888,0.9411764705882353
9,IRCTC.NS,infra_logistics_defense,2026-08-02T06:00:51.879500+00:00,391840006144,489.8,28.084862,21.847,0.34959,1.874,0.151,0.26721,1.2103574830708552,807259008.0,43085313000.0,True,,0.01874,1,0.7650000000000001,4,0.5772727272727273,0.9545454545454546,0.8,0.7272727272727273,0.7,0.4545454545454546,1.0,0.9090909090909091,0.8,0.7272727272727273
10,COALINDIA.NS,metals_mining,2026-08-02T05:59:44.272455+00:00,2552294014976,414.15,8.189638,5.231,,11.629,0.451,0.18138,1.4139217823847143,140721799168.0,1191015600000.0,True,,0.1162899999999999,2,0.7633333333333333,4,0.9,0.6666666666666666,0.6666666666666667,0.8,0.9333333333333333,0.8666666666666667,,0.6666666666666666,0.6666666666666667,0.8
