acquisition_likelihood_rank,ticker,sector,acquisition_likelihood_sector_rank,acquisition_likelihood_score,likelihood_components_used,valuation_bucket_score,turnaround_potential_score,leverage_bucket_score,quality_bucket_score,composite_score,rank
1,SKFINDIA.NS,capital_goods,1,0.8464052287581699,3,0.9411764705882352,0.7124183006535948,0.8823529411764706,0.2875816993464052,0.5568627450980391,67
2,HEIDELBERG.NS,cement,1,0.8,3,0.6875,0.875,0.875,0.125,0.49375,97
3,BPCL.NS,energy_power,1,0.788888888888889,3,0.7777777777777778,0.8888888888888888,0.6666666666666667,0.1111111111111111,0.6000000000000001,51
4,ONGC.NS,energy_power,2,0.7833333333333333,3,0.8888888888888888,0.6666666666666667,0.7777777777777778,0.3333333333333333,0.5888888888888888,53
5,ARE&M.NS,auto,1,0.771825396825397,3,0.8928571428571429,0.6746031746031746,0.7142857142857143,0.3253968253968253,0.5654761904761905,64
6,WHIRLPOOL.NS,consumer_durables_retail,1,0.7620192307692308,3,0.8076923076923077,0.7596153846153846,0.6923076923076923,0.2403846153846154,0.5451923076923078,75
7,GLENMARK.NS,pharma_healthcare,1,0.7558823529411764,3,0.7647058823529411,0.8235294117647058,0.6470588235294117,0.1764705882352941,0.5647058823529412,65
8,DRREDDY.NS,pharma_healthcare,2,0.7177941176470588,3,0.7941176470588235,0.8911764705882353,0.3529411764705882,0.1088235294117647,0.353235294117647,156
9,GNFC.NS,chemicals,1,0.7143939393939395,3,0.7272727272727273,0.5606060606060608,0.9090909090909092,0.4393939393939393,0.6227272727272727,43
10,AUROPHARMA.NS,pharma_healthcare,3,0.7120588235294116,3,0.9117647058823528,0.7823529411764706,0.2941176470588235,0.2176470588235294,0.4329411764705882,123
11,CENTRALBK.NS,banking,1,0.7012759170653909,2,0.7894736842105263,0.6004784688995216,,0.3995215311004784,0.4736509835194045,107
12,CYIENT.NS,it,1,0.6964646464646465,3,0.6616161616161615,0.9090909090909091,0.4545454545454546,0.0909090909090909,0.4803030303030303,103
13,BANKINDIA.NS,banking,2,0.693939393939394,2,0.9473684210526316,0.40430622009569384,,0.5956937799043062,0.7314261031366294,17
14,BANKBARODA.NS,banking,3,0.6909090909090909,2,0.6842105263157895,0.6985645933014354,,0.3014354066985646,0.5085061137692717,87
15,CIPLA.NS,pharma_healthcare,4,0.6882352941176471,3,0.7058823529411764,0.5294117647058825,0.8823529411764706,0.4705882352941176,0.5529411764705883,70
16,ACC.NS,cement,2,0.68125,3,0.875,0.5,0.625,0.5,0.5875,54
17,NCC.NS,infra_logistics_defense,1,0.6675,3,0.9045454545454544,0.6590909090909092,0.3,0.3409090909090909,0.5245454545454545,82
