ticker,excluded,exclusion_reason,missing_fields,outlier_fields,negative_equity,zero_or_negative_revenue_proxy
AARTIIND.NS,False,,['return_on_equity'],[],False,False
ABBOTINDIA.NS,False,,[],[],False,False
ABB.NS,False,,[],[],False,False
ACC.NS,False,,['return_on_equity'],[],False,False
ADANIENT.NS,False,,['return_on_equity'],[],False,False
ADANIGREEN.NS,False,,['return_on_equity'],[],False,False
ADANIPORTS.NS,False,,['return_on_equity'],[],False,False
ADANIPOWER.NS,False,,['return_on_equity'],[],False,False
ALKEM.NS,False,,[],[],False,False
AMBUJACEM.NS,False,,['return_on_equity'],[],False,False
APLAPOLLO.NS,False,,['return_on_equity'],[],False,False
APOLLOHOSP.NS,False,,[],[],False,False
ARE&M.NS,False,,[],[],False,False
ASHOKLEY.NS,True,missing critical fields: ['market_cap'],['market_cap'],[],False,False
ASTRAL.NS,False,,[],[],False,False
AUBANK.NS,False,,"['ev_to_ebitda', 'return_on_equity', 'debt_to_equity']",[],False,False
AUROPHARMA.NS,False,,[],[],False,False
AXISBANK.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
BAJAJ-AUTO.NS,False,,['return_on_equity'],[],False,False
BAJAJFINSV.NS,False,,['return_on_equity'],[],False,False
BAJAJHLDNG.NS,False,,[],['net_margin'],False,False
BAJFINANCE.NS,False,,"['ev_to_ebitda', 'return_on_equity']",[],False,False
BANDHANBNK.NS,False,,"['ev_to_ebitda', 'return_on_equity', 'debt_to_equity']",[],False,False
BANKBARODA.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
BANKINDIA.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
BATAINDIA.NS,False,,[],[],False,False
BEL.NS,False,,['return_on_equity'],[],False,False
BHARATFORG.NS,False,,[],[],False,False
BHARTIARTL.NS,False,,[],[],False,False
BHEL.NS,False,,['return_on_equity'],[],False,False
BIOCON.NS,True,missing critical fields: ['market_cap'],['market_cap'],[],False,False
BLUESTARCO.NS,False,,[],[],False,False
