ticker,strongest_bucket,strongest_bucket_contribution,strongest_metric,strongest_metric_score,weakest_bucket,weakest_bucket_contribution,weakest_metric,weakest_metric_score,summary
NATIONALUM.NS,quality,0.28,net_margin,0.9333333333333332,growth,0.1467,revenue_growth,0.7333333333333333,"NATIONALUM.NS (sector: metals_mining) ranked #1 overall, #1 in sector. Strongest factor: quality (driven primarily by net margin), scoring at the 93th percentile within its sector on this metric. Weakest factor: growth (driven primarily by revenue growth)."
BEL.NS,quality,0.2833,net_margin,0.9444444444444444,leverage,0.1667,debt_to_equity_ratio,0.8333333333333334,"BEL.NS (sector: capital_goods) ranked #2 overall, #1 in sector. Strongest factor: quality (driven primarily by net margin), scoring at the 94th percentile within its sector on this metric. Weakest factor: leverage (driven primarily by leverage (debt/equity))."
KAJARIACER.NS,valuation,0.2654,ev_to_ebitda,0.9230769230769232,leverage,0.1538,debt_to_equity_ratio,0.7692307692307692,"KAJARIACER.NS (sector: consumer_durables_retail) ranked #3 overall, #1 in sector. Strongest factor: valuation (driven primarily by EV/EBITDA), scoring at the 92th percentile within its sector on this metric. Weakest factor: leverage (driven primarily by leverage (debt/equity))."
IOB.NS,quality,0.3454,return_on_equity,1.0,growth,0.2361,revenue_growth,0.9444444444444444,"IOB.NS (sector: banking) ranked #4 overall, #1 in sector. Strongest factor: quality (driven primarily by return on equity), scoring at the 100th percentile within its sector on this metric. Weakest factor: growth (driven primarily by revenue growth)."
UNIONBANK.NS,quality,0.4414,net_margin,0.9473684210526316,valuation,0.3684,trailing_pe,0.736842105263158,"UNIONBANK.NS (sector: banking) ranked #5 overall, #2 in sector. Strongest factor: quality (driven primarily by net margin), scoring at the 94th percentile within its sector on this metric. Weakest factor: valuation (driven primarily by P/E ratio)."
NMDC.NS,quality,0.27,return_on_equity,1.0,leverage,0.12,debt_to_equity_ratio,0.6,"NMDC.NS (sector: metals_mining) ranked #6 overall, #2 in sector. Strongest factor: quality (driven primarily by return on equity), scoring at the 100th percentile within its sector on this metric. Weakest factor: leverage (driven primarily by leverage (debt/equity))."
HEROMOTOCO.NS,quality,0.24,net_margin,0.8,leverage,0.16,debt_to_equity_ratio,0.8,"HEROMOTOCO.NS (sector: auto) ranked #7 overall, #1 in sector. Strongest factor: quality (driven primarily by net margin), scoring at the 80th percentile within its sector on this metric. Weakest factor: leverage (driven primarily by leverage (debt/equity))."
OBEROIRLTY.NS,quality,0.25,net_margin,0.8333333333333334,leverage,0.1333,debt_to_equity_ratio,0.6666666666666667,"OBEROIRLTY.NS (sector: realty) ranked #8 overall, #1 in sector. Strongest factor: quality (driven primarily by net margin), scoring at the 83th percentile within its sector on this metric. Weakest factor: leverage (driven primarily by leverage (debt/equity))."
GNFC.NS,valuation,0.2455,trailing_pe,0.8181818181818181,growth,0.1667,revenue_growth,0.8333333333333334,"GNFC.NS (sector: chemicals) ranked #9 overall, #1 in sector. Strongest factor: valuation (driven primarily by P/E ratio), scoring at the 81th percentile within its sector on this metric. Weakest factor: growth (driven primarily by revenue growth)."
COALINDIA.NS,valuation,0.2686,trailing_pe,0.9333333333333332,leverage,0.1333,debt_to_equity_ratio,0.6666666666666667,"COALINDIA.NS (sector: metals_mining) ranked #10 overall, #3 in sector. Strongest factor: valuation (driven primarily by P/E ratio), scoring at the 93th percentile within its sector on this metric. Weakest factor: leverage (driven primarily by leverage (debt/equity))."
