ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio
AARTIIND.NS,chemicals,2026-08-23T03:52:47.736345+00:00,191229509632,527.2,36.10959,18.134,,83.392,0.425,0.05901,1.3914357682619647,49659998208.0,59550000000.0,True,,0.83392
ABBOTINDIA.NS,pharma_healthcare,2026-08-23T03:51:45.902033+00:00,557369196544,26230.0,34.482758,27.887,,3.602,0.043,0.23052,1.4509058081056683,1719900032.0,47741900000.0,True,,0.036019999999999996
ABB.NS,capital_goods,2026-08-23T03:52:30.572007+00:00,1573207670784,7424.0,99.01307,77.857,0.19131,1.547,0.121,0.21349001,1.667347712286514,1445200000.0,78359900000.0,True,,0.01547
ACC.NS,cement,2026-08-23T03:50:23.118429+00:00,245513076736,1307.4,12.903672,10.097,,2.085,-0.038,0.07563,1.2187217464845206,4286099968.0,205505400000.0,True,,0.02085
ADANIENT.NS,infra_logistics_defense,2026-08-23T03:53:13.793344+00:00,4264651390976,2997.0,52.085506,32.932,,119.56,0.499,0.06546,1.238997132563782,1066217897984.0,809259500000.0,True,,1.1956
ADANIGREEN.NS,energy_power,2026-08-23T03:52:26.011663+00:00,2174272536576,1320.0,126.558,27.917,,346.548,0.166,0.13095,0.6173804157275231,1035449991168.0,199650000000.0,True,,3.46548
ADANIPORTS.NS,infra_logistics_defense,2026-08-23T03:53:12.899626+00:00,3916730466304,1700.0,28.985506,19.354,,64.051,0.186,0.32431,0.4029716422211426,633989890048.0,961253000000.0,True,,0.64051
ADANIPOWER.NS,energy_power,2026-08-23T03:52:26.840625+00:00,3963004911616,205.5,27.77027,20.466,,82.332,0.34,0.24148001,0.8339199542694382,546702884864.0,649368800000.0,True,,0.8233199999999999
ALKEM.NS,pharma_healthcare,2026-08-23T03:51:45.099800+00:00,645650972672,5400.0,29.940119,21.556,,14.267,0.109,0.14306,1.0515365301264101,20471599104.0,138201000000.0,True,,0.14267
AMBUJACEM.NS,cement,2026-08-23T03:50:24.027918+00:00,1029956698112,414.5,23.260382,18.445,,1.205,-0.077,0.11128,0.6734828127032526,8659300352.0,593473200000.0,True,,0.01205
APLAPOLLO.NS,metals_mining,2026-08-23T03:52:12.194249+00:00,593911349248,2139.0,48.306236,31.977,,9.396,0.085,0.052259997,4.226091422119765,4976500224.0,52965300000.0,True,,0.09396
APOLLOHOSP.NS,pharma_healthcare,2026-08-23T03:51:46.718401+00:00,1249920024576,8693.0,59.88152,35.766,,85.146,0.206,0.07906,2.6276727038744316,84929003520.0,94801000000.0,True,,0.85146
ARE&M.NS,auto,2026-08-23T03:51:34.954158+00:00,168337571840,919.75,18.249008,11.335,,5.015,0.239,0.06303,1.6989773995673518,4061600000.0,80989600000.0,True,,0.05015
ASHOKLEY.NS,auto,2026-08-23T03:51:28.650342+00:00,1016176836608,173.0,29.222973,12.336,,344.737,0.116,0.06021,3.9374561586440935,639357026304.0,142416900000.0,True,,3.4473700000000003
ASTRAL.NS,capital_goods,2026-08-23T03:52:40.189259+00:00,410631798784,1528.5,71.42523,37.477,,6.168,0.159,0.084809996,1.6150225486088863,2503000064.0,40579000000.0,True,,0.06168
AUBANK.NS,banking,2026-08-23T03:50:59.034356+00:00,830046404608,1108.2,29.325216,,,,0.298,0.21372999,0.6053324696565784,138715447296.0,199735220000.0,True,,
AUROPHARMA.NS,pharma_healthcare,2026-08-23T03:51:42.198815+00:00,932860264448,1621.3,25.31699,13.053,,21.31,0.163,0.10627,0.8810737756251688,80728399872.0,378909700000.0,True,,0.21309999999999998
AXISBANK.NS,banking,2026-08-23T03:50:50.505240+00:00,3878057672704,1245.8,14.024542,,0.13352999,,0.14,0.36031,0.40954805802859856,2852579704832.0,2150353500000.0,True,,
BAJAJ-AUTO.NS,auto,2026-08-23T03:51:26.909296+00:00,3212559515648,11700.0,27.855154,20.401,,56.352,0.64,0.16251,1.5550691581863303,226649604096.0,388319900000.0,True,,0.56352
