ticker,sector,rank,naive_rank,composite_score,trailing_pe
NATIONALUM.NS,metals_mining,1,23.0,0.8566666666666667,10.856911
IOB.NS,banking,2,25.0,0.8183479532163742,11.134228
KAJARIACER.NS,consumer_durables_retail,3,102.0,0.8178571428571428,35.002914
UNIONBANK.NS,banking,4,10.0,0.8098086124401914,6.8221154
BEL.NS,capital_goods,5,142.0,0.8076797385620915,49.095238
HAL.NS,capital_goods,6,104.0,0.7934640522875817,35.560574
HEROMOTOCO.NS,auto,7,57.0,0.7901960784313726,20.863377
COALINDIA.NS,metals_mining,8,16.0,0.7766666666666666,8.074945
OBEROIRLTY.NS,realty,9,67.0,0.7750000000000001,26.223175
GNFC.NS,chemicals,10,17.0,0.7727272727272727,8.362167
LUPIN.NS,pharma_healthcare,11,47.0,0.7611111111111111,18.141056
IRCTC.NS,infra_logistics_defense,12,76.0,0.7602272727272726,27.928858
POLYCAB.NS,capital_goods,13,139.0,0.7558823529411764,47.169613
ITC.NS,fmcg,14,44.0,0.7416666666666667,17.035986
COLPAL.NS,fmcg,15,115.0,0.7333333333333333,38.30673
BANKINDIA.NS,banking,16,4.0,0.7314261031366294,5.3225927
GILLETTE.NS,consumer_durables_retail,17,137.0,0.7285714285714285,45.690342
EMAMILTD.NS,fmcg,18,61.0,0.725,23.492712
CANBK.NS,banking,19,7.0,0.7244152046783625,5.8995433
ICICIGI.NS,insurance,20,96.0,0.7166666666666667,33.56567
GHCL.NS,chemicals,21,15.0,0.7155303030303031,7.9955397
PNB.NS,banking,22,8.0,0.7139819245082402,6.0665975
IDEA.NS,telecom_media,23,1.0,0.7124999999999999,4.0286536
EICHERMOT.NS,auto,24,113.0,0.7099673202614379,38.02297
MARUTI.NS,auto,25,82.0,0.7076797385620914,29.806047
HINDZINC.NS,metals_mining,26,39.0,0.7066666666666667,14.710325
MUTHOOTFIN.NS,nbfc_financial_services,27,24.0,0.7038461538461538,10.940457
ARE&M.NS,auto,28,49.0,0.6995098039215687,18.392857
BAJAJ-AUTO.NS,auto,29,77.0,0.6947712418300653,27.948004
ADANIPORTS.NS,infra_logistics_defense,30,78.0,0.6916666666666667,28.8815
PGHH.NS,consumer_durables_retail,31,97.0,0.6892857142857143,33.594425
DIVISLAB.NS,pharma_healthcare,32,187.0,0.6722222222222223,87.57076
TCS.NS,it,33,43.0,0.6675,16.815342
RECLTD.NS,nbfc_financial_services,34,5.0,0.660989010989011,5.4015803
LICI.NS,insurance,35,19.0,0.6533333333333333,8.925263
GLAND.NS,pharma_healthcare,36,124.0,0.6472222222222221,40.868484
HINDCOPPER.NS,metals_mining,37,143.0,0.6433333333333333,49.139698
ONGC.NS,energy_power,38,11.0,0.6409090909090909,6.8350186
SHRIRAMFIN.NS,nbfc_financial_services,39,53.0,0.6379120879120879,20.063593
ABBOTINDIA.NS,pharma_healthcare,40,101.0,0.6305555555555555,34.292137
HINDUNILVR.NS,fmcg,41,136.0,0.6291666666666667,45.001114
TIMKEN.NS,capital_goods,42,157.0,0.6284313725490196,55.480343
AMBUJACEM.NS,cement,43,60.0,0.6250000000000001,23.263187
ACC.NS,cement,44,31.0,0.625,12.949072
IOC.NS,energy_power,45,6.0,0.6227272727272727,5.612771
GICRE.NS,insurance,46,13.0,0.6208333333333332,7.0567307
NMDC.NS,metals_mining,47,21.0,0.62,10.030661
GAIL.NS,energy_power,48,28.0,0.6181818181818182,11.526946
TATAELXSI.NS,it,49,105.0,0.615,35.722317
M&M.NS,auto,50,55.0,0.6129084967320262,20.753937
VBL.NS,fmcg,51,130.0,0.6125,42.78942
SUNPHARMA.NS,pharma_healthcare,52,111.0,0.6083333333333334,37.66118
DLF.NS,realty,53,112.0,0.6,37.907627
INFY.NS,it,54,40.0,0.6,14.784744
NAVINFLUOR.NS,chemicals,55,155.0,0.5928030303030303,53.04641
MAZDOCK.NS,infra_logistics_defense,56,118.0,0.5916666666666667,38.693295
CUMMINSIND.NS,capital_goods,57,165.0,0.5913398692810458,59.90035
LICHSGFIN.NS,nbfc_financial_services,58,3.0,0.5879120879120879,4.7579565
JUBLFOOD.NS,consumer_durables_retail,59,189.0,0.5821428571428571,89.77994
IPCALAB.NS,pharma_healthcare,60,109.0,0.5805555555555556,36.899227
HCLTECH.NS,it,61,54.0,0.5750000000000001,20.594923
GLENMARK.NS,pharma_healthcare,62,107.0,0.5722222222222223,36.26922
GODREJPROP.NS,realty,63,116.0,0.5666666666666667,38.392017
ALKEM.NS,pharma_healthcare,64,83.0,0.5666666666666667,29.820913
MRF.NS,auto,65,62.0,0.5647058823529413,23.507387
NTPC.NS,energy_power,66,22.0,0.5636363636363636,10.421889
BHARTIARTL.NS,telecom_media,67,123.0,0.56,40.597454
LALPATHLAB.NS,pharma_healthcare,68,161.0,0.5583333333333333,58.604507
ULTRACEMCO.NS,cement,69,121.0,0.55625,39.840225
TMPV.NS,auto,70,197.0,0.5555555555555555,
INDUSTOWER.NS,telecom_media,71,34.0,0.5549999999999999,13.920015
CONCOR.NS,infra_logistics_defense,72,88.0,0.5549242424242424,31.736874
RELIANCE.NS,energy_power,73,64.0,0.5545454545454546,23.808577
BPCL.NS,energy_power,74,14.0,0.5545454545454546,7.8248944
SUPREMEIND.NS,capital_goods,75,134.0,0.55359477124183,44.562912
CIPLA.NS,pharma_healthcare,76,100.0,0.55,33.89395
ADANIPOWER.NS,energy_power,77,74.0,0.55,27.60135
PFC.NS,nbfc_financial_services,78,2.0,0.5489010989010988,4.617334
HUDCO.NS,nbfc_financial_services,79,18.0,0.5483516483516484,8.832471
SKFINDIA.NS,capital_goods,80,110.0,0.545751633986928,37.605366
BOSCHLTD.NS,auto,81,167.0,0.5454248366013071,60.228466
PIIND.NS,chemicals,82,92.0,0.5378787878787878,32.521454
PERSISTENT.NS,it,83,138.0,0.5375000000000001,46.53243
VEDL.NS,metals_mining,84,29.0,0.5366666666666666,12.16513
FEDERALBNK.NS,banking,85,51.0,0.5358187134502924,19.229946
NCC.NS,infra_logistics_defense,86,33.0,0.5299242424242424,13.747312
GRINDWELL.NS,capital_goods,87,153.0,0.5289215686274509,52.717335
PAGEIND.NS,consumer_durables_retail,88,151.0,0.525,52.532944
RELAXO.NS,consumer_durables_retail,89,146.0,0.5178571428571428,50.227882
NBCC.NS,infra_logistics_defense,90,93.0,0.5166666666666667,32.738182
DABUR.NS,fmcg,91,106.0,0.5166666666666666,36.10009
UCOBANK.NS,banking,92,27.0,0.5137559808612441,11.502222
SUNDRMFAST.NS,auto,93,127.0,0.5135620915032679,42.410652
BANKBARODA.NS,banking,94,12.0,0.5085061137692717,6.960991
DRREDDY.NS,pharma_healthcare,95,81.0,0.5055555555555555,29.536522
CHAMBLFERT.NS,chemicals,96,20.0,0.5049242424242424,8.994182
NESTLEIND.NS,fmcg,97,180.0,0.5,74.482056
PIDILITIND.NS,chemicals,98,175.0,0.5,63.6462
MANAPPURAM.NS,nbfc_financial_services,99,59.0,0.4994505494505494,22.131947
HAVELLS.NS,capital_goods,100,140.0,0.4970588235294117,48.849556
AUROPHARMA.NS,pharma_healthcare,101,66.0,0.4944444444444444,25.126482
HEIDELBERG.NS,cement,102,86.0,0.49375,31.180935
WIPRO.NS,it,103,38.0,0.4933333333333333,14.488872
WHIRLPOOL.NS,consumer_durables_retail,104,120.0,0.4928571428571429,39.189873
IRFC.NS,nbfc_financial_services,105,41.0,0.4928571428571428,15.859746
IRCON.NS,infra_logistics_defense,106,50.0,0.4924242424242424,19.19178
AXISBANK.NS,banking,107,35.0,0.4910619351408824,14.036924
POWERGRID.NS,energy_power,108,32.0,0.4909090909090909,13.303964
